"ID_Band","TimePoint","AgeCategory","Sex","Mom_ID","Cohort","Treatment","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell"
4578,"Baseline","Older","F",4171,2,"D","No","265","271","No","0.4","No","No","U","56","2:55","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
4578,"Treatment","Older","F",4171,2,"D","No","180","171","No","0.3","No","No","U","58","2:06","032204A","",113,"",NA,NA,NA,NA,NA,NA,NA
4579,"Baseline","Older","F",4171,2,"E","No","216","200","No","0.4","0.5","No","U","58","1:30","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4579,"Heat","Older","F",4171,2,"E","No","239","229","No","0.7","No","No","U","60","1:15","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA
4579,"Treatment","Older","F",4171,2,"E","No","200","212","No","0.6","No","No","U","58","2:25","","",113,"",NA,NA,NA,NA,NA,NA,NA
4582,"Baseline","Older","F",4222,3,"E","No","269","271","No","0.4","0.5","No","No","No","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4582,"Heat","Older","F",4222,3,"E","No","312","331","No","0.4","No","No","U","58","2:50","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4582,"Treatment","Older","F",4222,3,"E","No","243","247","No","0.4","0.5","No","U","52","No","050124A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4586,"Baseline","Older","F",4222,3,"C","No","270","262","No","0.5","0.6","No","L","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4586,"Treatment","Older","F",4222,3,"C","No","276","203","No","0.6","No","No","U","No","3:00/6:30","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
