ID_Band,TimePoint,AgeCategory,Age_PreBleed,Age_Treatment,Sex,Mom_ID,Cohort,Outcome,Outcome_Detail,Glucose_1,Glucose_2,Glucose_3,Ketone_1,Ketone_2,Plasma_Color,Hematocrit,BleedTime_Min,Blood_SQ.Mean_SCNAG,Blood_SQ.Mean_mtDNA,Blood_mtDNA.Mean,Blood_Cq.Mean_SCNAG,Blood_SQ.Mean_Telomeres,Blood_Cq.Mean_Telomeres,Blood_Telomeres.per.cell,CORT.ng.mL.,RNASeq_DataAvailable
4723,Baseline,Pubescent,144,159,F,4206,5,No,NA,273,256,No,0.4,0.3,U,54,4:00,NA,NA,NA,NA,NA,NA,NA,0.817765943,No
4725,Baseline,Pubescent,146,160,M,4574,6,No,NA,266,255,No,0.3,No,U,50,3:00/3:35,NA,NA,NA,NA,NA,NA,NA,0.662254735,No
4729,Baseline,Pubescent,143,158,F,4374,5,No,NA,296,280,No,0.5,No,U,52,2:23,NA,NA,NA,NA,NA,NA,NA,1.68327952,No
4731,Baseline,Pubescent,143,157,F,4175,6,No,NA,243,235,No,0.6,No,U,56,3:00/3:30,NA,NA,NA,NA,NA,NA,NA,3.103700131,No
4735,Baseline,Pubescent,140,155,F,4210,6,No,NA,186,191,No,0.4,No,U,54,1:35,NA,NA,NA,NA,NA,NA,NA,0.658007705,No
4737,Baseline,Pubescent,141,155,F,4210,6,Succumbed,Died,280,293,No,0.4,No,U,54,1:52,204.942183,30.2143487,0.147428647,23.89250377,90483.13549,16.19194267,441.5056684,NA,Yes
4738,Baseline,Pubescent,139,167,F,4210,6,No,NA,254,217,No,0.3,No,L,52,2:30,123.4994096,26.62164244,0.215560888,24.6023404,54701.82001,17.04049759,442.9318342,0.734798907,Yes
4739,Baseline,Pubescent,136,164,F,4023,5,No,NA,205,208,No,0.4,No,U,58,1:45,92.00273001,48.29678786,0.524949508,25.02671685,149955.61,15.3550255,1629.903917,0.966207279,Yes
4741,Baseline,Pubescent,140,154,F,4111,6,No,NA,211,211,No,0.5,No,L,58,2:25,NA,NA,NA,NA,NA,NA,NA,0.631540734,No
4745,Baseline,Pubescent,139,167,F,4111,6,No,NA,204,187,No,0.6,No,U,56,1:30,175.2650448,54.82246395,0.312797478,24.11047205,95191.93894,16.10704684,543.1313417,0.658007705,Yes
4748,Baseline,Pubescent,136,150,F,4150,7,No,NA,318,No,No,No,No,L,54,5:00,NA,NA,NA,NA,NA,NA,NA,1.23088564,No
4749,Baseline,Pubescent,135,147,F,4150,7,No,NA,234,230,No,0.3,No,U,52,1:47,NA,NA,NA,NA,NA,NA,NA,0.217798091,No
4752,Baseline,Pubescent,128,143,F,4546,6,No,NA,242,232,No,0.4,No,U,50,1:23,NA,NA,NA,NA,NA,NA,NA,0.091720635,No
4757,Baseline,Pubescent,126,140,M,4147,7,No,NA,274,265,No,0.4,No,U,52,3:00/4:27,NA,NA,NA,NA,NA,NA,NA,0.000500511,No
4758,Baseline,Pubescent,125,153,F,4147,7,No,NA,273,312,No,0.3,No,U/L,No,3:00/5:00,290.0632392,44.87241867,0.154698744,23.40453367,169281.3734,15.15161322,583.60161,0.615234883,No
4759,Baseline,Pubescent,125,137,F,4147,7,No,NA,219,234,No,0.5,No,L,52,3:00,NA,NA,NA,NA,NA,NA,NA,1.645772805,No
