"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ALKBH4",837.09321893988,-0.977800266810731,0.244758137155987,-3.9949653080893,6.47037267271299e-05,0.0346811975257416
"DGCR6",6238.24746350896,-0.511027225960037,0.130586733395393,-3.91331655730095,9.1037064747542e-05,0.0462276631939097
"SLC40A1",13496.5303503952,0.618682661556616,0.160891310708334,3.84534540015136,0.00012038274549855,0.0574668992988343
"LOC140684992",249.337272186195,1.47117687374472,0.383524176171289,3.83594298651896,0.000125083425090746,0.0574668992988343
"EXOSC1",1088.90587774767,-0.662016587901567,0.175394835121487,-3.77443604563967,0.00016037004204106,0.0675978549805483
"FANCM",850.080189016761,-0.625492596113405,0.166082650580848,-3.7661525386658,0.000165782528598911,0.0675978549805483
"PIGQ",5949.57515430003,0.842073331844631,0.224028184217817,3.75878300663234,0.00017074183570842,0.0675978549805483
"LOC115496018",124.711736484029,5.9427013897592,1.58371318334718,3.75238487135612,0.000175160279282101,0.0675978549805483
"CPOX",2628.94051413102,0.642340101987699,0.175680632589926,3.65629433659344,0.000255887529142417,0.0949539569679245
"PCF11",14157.9825073534,-0.327151816781524,0.0897231098399811,-3.6462380468643,0.000266107479924208,0.0950890728262502
"TTLL4",1475.04521705541,-0.588184688056608,0.161868132412042,-3.6337275243243,0.000279355876892611,0.0951080066068449
"EIF4EBP1",1946.8488245584,-0.571124862050232,0.157431241872869,-3.62777333936953,0.000285876056343128,0.0951080066068449
"DLL3",501.167286495722,-1.24486848009066,0.350158416294132,-3.55515795754848,0.000377752078784525,0.121485068537103
"GALNT10",184.035581029846,0.850833946314085,0.243811778610764,3.48971633430561,0.000483533510979468,0.150488106900965
"MACROH2A1",218.518937847605,0.805614350618793,0.231453381536256,3.4806765201337,0.000500149134506477,0.150794964053703
"UTP18",5232.93745093422,-0.568444211565298,0.164073726114863,-3.46456574751858,0.000531088301139007,0.154546243741953
"PPFIBP1",704.07179986649,-1.80196778430104,0.521664355869969,-3.45426664487347,0.000551791515237837,0.154546243741953
"NCOA5",1510.09721476272,-0.43457021039435,0.126086646869966,-3.44659978817998,0.000567688868883506,0.154546243741953
"COL4A4",139.184393269477,1.46381251566354,0.425808712235727,3.43772326305333,0.000586626892326384,0.154546243741953
"CIST1",345.300477137126,2.0054668100234,0.583843215937786,3.43494067461614,0.000592683563272415,0.154546243741953
"DDX20",1748.71481762783,-0.390717130822994,0.115030748298656,-3.39663208839232,0.000682206229209317,0.173208571037145
"LOC121470800",4680.83938655018,-0.409379701906135,0.120975093931842,-3.38399986807849,0.000714380374903395,0.175322661844361
"SEC31B",484.757183304326,0.806728390010968,0.239132358323438,3.3735643125295,0.000742017106989319,0.175322661844361
"MTHFD1L",131.218216464051,0.938995626887667,0.278558882031364,3.37090535415755,0.000749215930078117,0.175322661844361
"UBA2",2026.54752710258,-0.282959350485242,0.0841129599183079,-3.36403986686543,0.000768104469545821,0.175322661844361
"PCIF1",8463.66523969132,-0.277271609541086,0.0825384259354818,-3.35930333536796,0.000781392460541824,0.175322661844361
"FGD5",289.055114559061,0.882471287357248,0.264061147728384,3.34192021412013,0.000832009726321555,0.179161010998011
"NIPAL3",2046.68451880521,-0.494715696259422,0.148086910838496,-3.34071183913722,0.000835639043834007,0.179161010998011
"EIF2B2",1526.83370134975,-0.294883698474458,0.088449967972634,-3.33390395987134,0.000856362208741724,0.179612664998699
"MPHOSPH10",159.47895361006,0.898138168350817,0.271099731728905,3.3129437739501,0.000923195372834289,0.186568310213444
"ELMOD2",281.700078231302,0.933994637858197,0.282246504394182,3.30914510301177,0.000935813236135228,0.186568310213444
"NDUFC2",153.106879820671,0.843874939538551,0.255505795432917,3.30276242113698,0.000957374621663483,0.186568310213444
"ARHGAP31",235.563582142744,1.10488959520736,0.334815832425099,3.29999207983851,0.000966875571172491,0.186568310213444
"PGAM5",302.716457116534,0.818841634635826,0.249417854071945,3.28301130519562,0.00102704546811394,0.194292836791436
"TRPT1",301.364333170198,-1.05966188618328,0.325215486745691,-3.25833771566945,0.00112066953115548,0.207927300703617
"LOC121470752",268.529940144936,0.772516361837336,0.238629043941619,3.23731071908553,0.00120661954636939,0.210910435384785
"LOC121470790",3587.32356112785,-0.929856048171497,0.287585900987866,-3.2333158370331,0.00122362201034131,0.210910435384785
"ATP6V1C2",118.281884575837,1.59529660641908,0.495028433884597,3.22263631181837,0.00127016713658374,0.210910435384785
"ING3",3603.29790925251,-0.401256768342364,0.124691132494517,-3.21800564575036,0.00129085276980847,0.210910435384785
"FES",2013.64745556799,-0.647688568479839,0.201488953381281,-3.21451155316791,0.00130666656542502,0.210910435384785
"RPL17",9120.09307590409,-0.988353527261114,0.307575202247987,-3.21337194948583,0.00131186279975209,0.210910435384785
"LOC140680874",145.918015485869,-1.30687379036839,0.406709351950147,-3.21328679584576,0.00131225183823076,0.210910435384785
"ACSL3",214.101935942685,0.833359171195651,0.260974418844853,3.19325999415703,0.00140676224196765,0.210910435384785
"TUBB6",2451.90845430311,0.919644256728234,0.288086119364118,3.19225465898229,0.00141166812759838,0.210910435384785
"RCVRN",2762.91630507328,-0.738721905578271,0.231791590794745,-3.18700908452033,0.00143752259656843,0.210910435384785
"PURA",1340.9082442867,-0.34542270642832,0.108587302111161,-3.18105984505178,0.00146737314035405,0.210910435384785
"NEK8",681.731289290464,-0.73045365394361,0.229678297212814,-3.18033380954052,0.00147105490301412,0.210910435384785
"CCNL1",5057.51325114223,-0.607173242122555,0.191030409894418,-3.17841145008347,0.00148084443338099,0.210910435384785
"CCAR1",6467.17277189225,-0.548082325295248,0.172621397390304,-3.17505438828081,0.00149808419268349,0.210910435384785
"LOC100223311",499.642173464145,0.937861257738255,0.295552640614462,3.17324607822287,0.00150744698013396,0.210910435384785
"CAST",1633.43146555999,0.426636781049338,0.134459380784365,3.17297892166813,0.00150883478329829,0.210910435384785
"LOC140685002",100.60192783985,1.02688661732046,0.324587339751004,3.16366811505403,0.00155794344074346,0.210910435384785
"YIF1B",3326.61970594927,-0.436055069679144,0.137958839756395,-3.16076208272787,0.00157356971299291,0.210910435384785
"INPP5E",745.827283731677,-0.46207914514198,0.146274577388085,-3.15898465333472,0.00158319827044607,0.210910435384785
"OXA1L",4825.97713991374,0.968866924011708,0.307148516832414,3.15439232461064,0.00160832715436675,0.210910435384785
"SLX4",754.062526629241,0.865976665850546,0.274650965232377,3.15300790994075,0.00161597428009298,0.210910435384785
"POLR1H",5069.76328561653,-0.629516077721004,0.199882264869179,-3.14943438395106,0.00163586839789184,0.210910435384785
"STAMBP",3545.75862189892,-0.496977574295578,0.157831825821115,-3.14877922567308,0.00163954007606331,0.210910435384785
"RNF113A2",994.297330068012,-0.369030287263874,0.117414197673111,-3.14297840105573,0.00167238179836658,0.212304468297905
"VPS13C",622.081060479773,1.11572755568613,0.355946323307269,3.13453878472284,0.00172124498550076,0.212944065918622
"LOC100223408",1724.82735209992,0.593078776063593,0.189255634278465,3.13374435759707,0.00172591148138347,0.212944065918622
"CWF19L1",1525.61576806601,-0.820711070874885,0.262145602001975,-3.1307451454734,0.00174363403892736,0.212944065918622
"U2AF1",3493.72466170148,-0.512661364258717,0.164132905869491,-3.1234526772246,0.00178742606057379,0.2155635829052
"PKN2",4308.9267700209,-0.227140813645582,0.0730836304154376,-3.10795745031302,0.00188385188462,0.224387691145849
"FBXL4",1299.77549512312,0.71987114051452,0.23205557227589,3.10214977151537,0.0019212073070509,0.225998970749388
"OGFRL1",212.640410314342,2.99661450053064,0.96737636332591,3.09767182053948,0.00195047292031913,0.225998970749388
"RASGRP2",3411.46301679146,-0.830484266920859,0.268324719553806,-3.09507177833582,0.00196765273040512,0.225998970749388
"FEM1B",2795.58943494432,0.422865283846126,0.137067936965908,3.08507805112223,0.00203498742521313,0.228323106360568
"LOC140680514",264.767825052434,-2.02993617207077,0.658613988556717,-3.08213340035361,0.00205522710634778,0.228323106360568
"LRBA",302.584618520107,0.677491661500849,0.220181251482258,3.0769725257713,0.00209114573888126,0.228323106360568
"EXOSC5",733.141979990808,-0.583260127134858,0.189672387003986,-3.07509245994042,0.00210437305397393,0.228323106360568
"LOC121470596",443.995404090732,0.669455798739939,0.217721126108984,3.07483160088393,0.00210621439325151,0.228323106360568
"HTRA2",1184.63308787309,-0.508001971983612,0.166434918384427,-3.05225596235906,0.00227128331865434,0.23501380668879
"DNAJC2",3176.84651305909,-0.399797351959977,0.131022387420684,-3.05136671549355,0.00227802161808456,0.23501380668879
"MPG",543.664715138059,0.635601378496285,0.208384133855216,3.0501428623059,0.00228732535637349,0.23501380668879
"SF3B3",4175.37406985168,-0.438598568732932,0.14432088288526,-3.03905131374254,0.00237324427358657,0.23501380668879
"DUSP3",133.25223182587,-1.54725556486876,0.509528432375002,-3.03664224910222,0.00239229200366606,0.23501380668879
"HYPK",4012.30459895345,-0.519241995436591,0.171066516017992,-3.03532220988227,0.00240278839926867,0.23501380668879
"ATL1",396.097597324293,2.23020155522062,0.735199459947142,3.03346462656673,0.00241763052911808,0.23501380668879
"MIR2188",149.077398992348,0.988699330594507,0.326356615902501,3.02950601402817,0.00244954026761043,0.23501380668879
"DTD2",364.436239769202,0.745382369623829,0.246256930605992,3.0268482912931,0.00247117949041035,0.23501380668879
"ANKRD13D",1262.96277312741,-0.713546750462072,0.235977790415682,-3.02378774377512,0.00249631512092569,0.23501380668879
"LOC140685188",418.976036427204,-1.03601050709663,0.34265949760988,-3.02344022075272,0.0024991839927095,0.23501380668879
"STK17A",971.366463180345,0.695212191837748,0.230313998409887,3.01854076016902,0.0025399523162747,0.23501380668879
"BTBD9",558.715508384683,0.414035727458658,0.137210681058745,3.01751820094381,0.00254853736213357,0.23501380668879
"LOC121468399",314.946901389427,-0.875890572219668,0.290491131073559,-3.01520589968674,0.00256804856809192,0.23501380668879
"P4HA3",498.446933218427,-1.2100100749152,0.401317578772594,-3.01509362888101,0.0025689993776054,0.23501380668879
"ZBTB6",731.315611101561,-0.439482248843474,0.145831141626893,-3.01363785499179,0.00258135735588655,0.23501380668879
"PER3",5444.43735233619,0.760036315249394,0.252525819287821,3.00973705339464,0.0026147394767054,0.23501380668879
"FRMD7",612.933012440631,-0.772977044047882,0.256887379964875,-3.00901135802613,0.00262099317235737,0.23501380668879
"DCAF15",642.829460957372,-0.595346927789921,0.197928942436245,-3.00788212406929,0.00263075156741183,0.23501380668879
"TTL",367.001558548171,1.54457173733777,0.514649380395328,3.00121169125144,0.00268907549881514,0.23802018727127
"DNMT3A",289.57075505962,0.555837870209481,0.185876868680168,2.99035525052819,0.00278653162664388,0.242344583157012
"VCP",2894.15493484801,-0.318309020402725,0.106541899210254,-2.9876416955414,0.00281138938728314,0.242344583157012
"LOC100220969",219.451546714758,-0.587763350341947,0.196745121858546,-2.98743544332718,0.00281328703499019,0.242344583157012
"SEM1",6409.70792341767,-0.634103923884602,0.212683068221767,-2.98144995361557,0.00286886933347173,0.243670080809699
"LOC140680878",126.253660772054,-1.18712480943467,0.39856304220473,-2.97851201372776,0.00289651674329273,0.243670080809699
"LOC140682026",581.327243246791,-1.12416639073055,0.377531654264119,-2.97767452883325,0.00290444229820848,0.243670080809699
"LOC140681661",149486.837457776,1.1475498498933,0.385946534421224,2.97333891497226,0.00294578984771466,0.245008452161647
"PPP6C",1850.04700257233,-0.258233085154076,0.0871833851340433,-2.96195295419013,0.00305694488796089,0.250331873142878
"LOC100229022",4848.75790191063,-0.315728601048012,0.106611920386683,-2.96147560144175,0.00306168750319854,0.250331873142878
"NSMCE4A",4610.3166534199,-0.315743185652535,0.106984409563851,-2.95130091328018,0.00316438468060903,0.255688261037289
"SENP8",1539.0980349122,-0.389386115497803,0.132098881952496,-2.94768668547725,0.0032016137355923,0.255688261037289
"RAPGEF6",3234.81295122947,0.445643842781682,0.151210482922242,2.94717558048439,0.00320691056609744,0.255688261037289
"POR",282.78338465046,0.597638061178621,0.203100042351634,2.94257969746708,0.00325489993143402,0.255688261037289
"BRWD1",716.352425813667,0.367834030617665,0.125085816092995,2.94065340185491,0.00327520783063548,0.255688261037289
"LOC116807671",203036.584618243,1.12960475521497,0.384269699866173,2.93961443124028,0.00328620899343116,0.255688261037289
