ZF_4625_B_BL	ZF_4719_B_BL	ZF_4720_B_BL	ZF_4737_B_BL	ZF_4738_B_BL	ZF_4739_B_BL	ZF_4745_B_BL	ZF_4761_B_BL	ZF_4768_B_BL	ZF_4774_B_BL	ZF_4775_B_BL	ZF_4784_B_BL	ZF_4785_B_BL	ZF_4798_B_BL	ZF_4802_B_BL	ZF_4810_B_BL	ZF_4817_B_BL
BBX	9.13321089655614	8.80648755192718	8.61077568746811	9.39729532391644	8.5530988171397	8.5874391293335	7.60664567150861	8.42393559699216	8.38718200383014	9.16817275400745	8.68891170210033	9.77052467224781	8.92848409776461	8.53488654302028	9.21657280896464	10.0379578553444	8.67137638229938
TRAT1	6.19690020903564	7.54654276896257	5.18778391071681	5.94991405960765	6.88410982553118	5.73653021997989	6.34954548500593	7.71709398382626	7.98847130711538	6.5125251532911	7.22198391053011	7.23858219552362	7.43332085585356	7.6511953209924	7.27214430080365	7.29058328357013	6.89945561031824
IFT57	6.89748469013943	6.90490284273674	5.42268960850611	7.11813698893866	5.67096064113985	7.63078224695796	6.66439938679477	5.93258289578191	6.93387353022243	6.43935601080399	7.59129845692198	5.81740514112668	5.84875256623566	7.0500663832956	6.69578238720358	6.64649882483077	7.51844279545688
CD47	14.4376028996893	14.3583728090435	12.8972504413157	13.9083516481866	13.5777976631515	13.927606457664	14.3455929535716	13.6497681692918	13.9885505312168	13.3913456327086	14.3211750979706	13.2213822919163	14.0243575373329	14.004369215394	13.6247174092556	13.6571897164619	14.1644985885452
ABHD10	8.498950452566	8.95781371282189	9.59296419062155	10.0570227147124	9.569279685405	9.36558023435091	7.95771115439398	9.74694813895475	9.48816459031509	7.77823009116449	9.3966331355896	8.92156149999745	9.32312336043372	9.12682499295607	7.32653970244805	8.75202094324266	9.24157081820688
TAGLN3	6.53484843520272	6.89159483693018	8.64601947408441	8.42700842701711	8.65832108647375	7.12071661941017	6.93447494511152	8.45602333820937	7.25035422132086	6.17664411175109	7.85308547210559	7.17087286545737	7.13568548269965	6.59842484527949	5.54897142733919	5.81593052923977	7.65454738798262
LOC100228717	7.12518586467072	5.45656168624492	6.03235769146817	6.22589753955365	5.03841588906341	4.72726083423603	6.10053661196184	8.42032583568995	4.53398758142384	7.41584215821609	5.69524273248572	5.79758754612606	1.56206642122337	5.08236205266538	8.04453367313502	4.9670311573863	7.53338946243809
C1H3orf52	4.88439798055733	5.6268528590729	8.12523933381008	6.5439654904475	6.6066167791535	4.48950976123674	7.23035292543168	7.98974195513048	6.30808059123841	7.43101997973065	6.71011815598966	6.98185427260584	6.44164364108237	6.34648426916065	7.03139332357305	7.05037579036867	7.33440823768803
LTN1	9.68909620919035	10.157389793184	10.1625058955935	10.8863211615504	10.283391104497	10.5783082717841	10.8088824853158	10.1964556885035	10.8109826306212	10.8500352014943	10.5571999831993	10.4130740013651	9.84666912661208	9.99474950199558	10.7581213694487	10.3863033965094	10.147500563988
USP16	7.62712473714566	7.93174902435148	7.91016483053559	8.86695698099269	8.23213063278905	7.77912336234923	7.60664567150861	7.55535847821327	8.44770039833566	8.44189705464053	8.15551703524821	8.16198819814191	6.94307501878344	8.17798429843027	7.41526765567844	7.71291923952914	7.47265060336465
